<shipment>.  (a box), - bunch of pieces,,,,,,,,,,,,,,,,,,,,,,,,
,FORM_TYPE_CD,string,PIECE.FORM_TYPE_CD,PIECE.FORM_TYPE_CD,,,,,,,,,,,,,,,,,,,,,
,HARMONIZED_TARIFF_NBR,string,PIECE.HARMONIZED_TARIFF_NBR,PIECE.HARMONIZED_TARIFF_NBR,,,,,,,,,,,,,,,,,,,,,
,IPD_DOC_NBR,string,PIECE.IPD_DOC_NBR,PIECE.IPD_DOC_NBR,,,,,,,,,,,,,,,,,,,,,
,LAST_FOREIGN_PORT_CD,string,PIECE.LAST_FOREIGN_PORT_CD,,"Data only in cbs, not in classify",,,,,,,,,,,,,,,,,,,,
,LAST_MODIFIED_LOCATION_CD,string,PIECE.LAST_MODIFIED_LOCATION_CD,PIECE.LAST_MODIFIED_LOCATION_CD,,,,,,,,,,,,,,,,,,,,,
,LAST_MODIFIED_NM,string,,,,,,,,,,,,,,,,,,,,,,,
,MANIFEST_STATUS_CD,string,,PIECE.MANIFEST_STATUS_CD,,,,,,,,,,,,,,,,,,,,,
,MANIFEST_TMSTP,dateTime,,,,,,,,,,,,,,,,,,,,,,,
,PAYMENT_OPTION_CD,string,PIECE.PAYMENT_OPTION_CD,PIECE.PAYMENT_OPTION_CD,no data in both DB,,,,,,,,,,,,,,,,,,,,
,PAYOR_ACCOUNT_NBR,int,PIECE.PAYOR_ACCOUNT_NBR,PIECE.PAYOR_ACCOUNT_NBR,,,,,,,,,,,,,,,,,,,,,
,PAYOR_ACCOUNT_TYPE_CD,string,PIECE.PAYOR_ACCOUNT_TYPE_CD,PIECE.PAYOR_ACCOUNT_TYPE_CD,,,,,,,,,,,,,,,,,,,,,
,PIECE_QTY,int,PIECE.PIECE_QTY,PIECE.PIECE_QTY,,,,,,,,,,,,,,,,,,,,,
,PIECE_STATUS_CD,string,PIECE.PIECE_STATUS_CD,PIECE.PIECE_STATUS_CD,,,,,,,,,,,,,,,,,,,,,
,PIECE_TYPE_CD,string,PIECE.PIECE_TYPE_CD,,no data in classify,,,,,,,,,,,,,,,,,,,,
,PORT_OF_EXPORT_CD,string,PIECE.PORT_OF_EXPORT_CD,PIECE.PORT_OF_EXPORT_CD,,,,,,,,,,,,,,,,,,,,,
,PORT_OF_UNLADING_CD,string,PIECE.PORT_OF_UNLADING_CD,PIECE.PORT_OF_UNLADING_CD,,,,,,,,,,,,,,,,,,,,,
,RIH_CLEARANCE_LOC_CD,string,PIECE.RIH_CLEARANCE_LOC_CD,,no data in both DB,,,,,,,,,,,,,,,,,,,,
,SHIPPER_REFERENCE_DESC,string,PIECE.SHIPPER_REFERENCE_DESC,PIECE.SHIPPER_REFERENCE_DESC,,,,,,,,,,,,,,,,,,,,,
,SPLIT_BILLING_BUSINESS_CD,string,,PIECE.SPLIT_BILLING_BUSINESS_CD,"no data in cbs, classify very old",,,,,,,,,,,,,,,,,,,,
,SPLIT_BILLING_ADDRESS_AMT,double,PIECE.SPLIT_BILLING_ADDRESS_AMT,PIECE.SPLIT_BILLING_ADDRESS_AMT,,,,,,,,,,,,,,,,,,,,,
,SPLIT_BILLING_KILO_WGT,double,PIECE.SPLIT_BILLING_KILO_WGT,PIECE.SPLIT_BILLING_KILO_WGT,,,,,,,,,,,,,,,,,,,,,
,SPLIT_BILLING_CURRENCY_CD,string,,PIECE.SPLIT_BILLING_CURRENCY_CD,,,,,,,,,,,,,,,,,,,,,
,TOTAL_WGT,double,PIECE.TOTAL_WGT,PIECE.TOTAL_WGT,,,,,,,,,,,,,,,,,,,,,
,TOTAL_WGT_UOM_CD,string,PIECE.TOTAL_WGT_UOM_CD,PIECE.TOTAL_WGT_UOM_CD,,,,,,,,,,,,,,,,,,,,,
,TRACKING_NBR,string,PIECE.TRACKING_NBR,PIECE.TRACKING_NBR,,,,,,,,,,,,,,,,,,,,,
,TRANSACTION_SEQ_TMSTP,dateTime,PIECE.TRANSACTION_SEQ_TMSTP,PIECE.TRANSACTION_SEQ_TMSTP,,,,,,,,,,,,,,,,,,,,,
,VARIABLE_PCT,int,,,no data in both DB,,,,,,,,,,,,,,,,,,,,
,XREF_NBR,string,PIECE.XREF_NBR,PIECE.XREF_NBR,,,,,,,,,,,,,,,,,,,,,
,ETL_TMSTP,dateTime,,,,,,,,,,,,,,,,,,,,,,,
,SHIPMENT_TYPE_CD,int,,,,,,,,,,,,,,,,,,,,,,,
,SPLIT_SEQ_NBR,int,,PIECE.SPLIT_SEQ_NBR,no data in both DB,,,,,,,,,,,,,,,,,,,,
,PIECE_DELETED_FLG,string,PIECE.DELETED_FLG,PIECE.PIECE_DELETED_FLG,,,,,,,,,,,,,,,,,,,,,
,PIECE_SEQ_NBR,long,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
<Consignee><Shipper> (2 parents),,,,,,,,,,,,,,,,,,,,,,,,,
